ptaz,ataz,da,s2,s3,wt,dt,wk,bk
663,658,0.02934414704331028,0.0,0.0,0.0,0.0,0.0003422893671378028,0.0003135635895519161
663,660,0.009682225367551749,0.0,0.0,0.0,0.0,0.00018348567942917107,0.00013428895301908746
663,661,0.028112275856155403,0.0,0.0,0.0,0.0,0.0013866013264566867,0.0005011228173879062
663,663,0.009904053161030971,0.0,0.0,0.0,0.0,0.009874385525252272,0.00022156131371675952
663,710,0.02,0.0,0.0,0.0,0.0,0.0,0.0
663,1079,0.01976936659997188,0.0,0.0,0.0,0.0,7.3629123353722e-05,0.00015700427667440062
663,1080,0.06840132871781134,0.0,0.0,0.0,0.0,0.0007133890823498882,0.0008852821998387828
663,1081,0.06852603914042499,0.0,0.0,0.0,0.0,0.0006407876824689389,0.0008331731771060798
663,1084,0.009874725213377369,0.0,0.0,0.0,0.0,4.957212674020597e-05,7.570265988242378e-05
663,1085,0.01986690911489644,0.0,0.0,0.0,0.0,3.755005128847896e-05,9.55408338150833e-05
663,1088,0.029727926621151576,0.0,0.0,0.0,0.0,5.329016866101674e-05,0.00021878321018740582
663,1126,0.02,0.0,0.0,0.0,0.0,0.0,0.0
663,1127,0.03,0.0,0.0,0.0,0.0,0.0,0.0
663,1132,0.04,0.0,0.0,0.0,0.0,0.0,0.0
690,690,0.0049520265805154855,0.0,0.0,0.0,0.0,0.004937192762626136,0.00011078065685837976
690,710,0.01,0.0,0.0,0.0,0.0,0.0,0.0
690,1126,0.01,0.0,0.0,0.0,0.0,0.0,0.0
690,1127,0.02,0.0,0.0,0.0,0.0,0.0,0.0
690,1132,0.02,0.0,0.0,0.0,0.0,0.0,0.0
710,649,0.13,0.01,0.0,0.0,0.0,0.0,0.0
710,652,0.7399999999999999,0.05999999999999999,0.02,0.0,0.0,0.0,0.0
710,658,0.5200907957229906,0.02943910164469757,0.009813033881565856,0.0,0.0,0.006530096843798923,0.00412697190694709
710,660,0.06890029771511168,0.0,0.0,0.0,0.0,0.0001048212478468056,0.0009948810370415237
710,661,0.19700195670764933,0.00985009783538247,0.0,0.0,0.0,0.00015023266740120134,0.0029977127895669696
710,663,0.12,0.009999999999999998,0.0,0.0,0.0,0.0,0.0
710,690,0.04,0.0,0.0,0.0,0.0,0.0,0.0
710,710,0.9050721982749362,0.17646061727372964,0.0227691119062877,0.0,0.0,1.100993986065628,0.0247040864794188
710,714,0.009799104620852334,0.0,0.0,0.0,0.0,9.996324328467259e-05,0.0001009321358629968
710,1079,0.268319600787168,0.019875525984234674,0.009937762992117335,0.0,0.0,0.00026472662795088304,0.0016023836085290134
710,1080,0.9938823393252316,0.05904251520743953,0.01968083840247984,0.0,0.0,0.0023266884211755236,0.015067618643673713
710,1081,1.1133151293195338,0.06896642394014818,0.019704692554328045,0.0,0.0,0.0029526236627078557,0.015061130523281641
710,1084,0.20649278128997897,0.009832989585237092,0.0,0.0,0.0,0.0011671392041954964,0.002507089920588493
710,1085,0.6380043697014406,0.039261807366242484,0.009815451841560621,0.0,0.0,0.009610096269182609,0.003308274821574053
710,1088,0.8331169577631775,0.04900687986842223,0.009801375973684443,0.0,0.0,0.011755735202124544,0.00631905119259106
710,1126,0.75,0.06000000000000001,0.02,0.0,0.0,0.0,0.0
710,1127,1.9078420780031031,0.13839268959607998,0.03954076845602287,0.0,0.0,0.0,0.03422446394479417
710,1128,0.16909421577634334,0.00994671857507902,0.0,0.0,0.0,0.00015882365683118256,0.0008002419917464901
710,1132,1.920039331713708,0.13000266308478228,0.04000081941070226,0.0,0.0,0.0,0.009957185790806731
710,1133,0.13910678624085404,0.009936199017203854,0.0,0.0,0.0,0.00015977586589502714,0.0007972388760472088
714,649,0.01,0.0,0.0,0.0,0.0,0.0,0.0
714,652,0.05,0.0,0.0,0.0,0.0,0.0,0.0
714,658,0.03990342965413883,0.0,0.0,0.0,0.0,9.657034586117023e-05,0.0
714,660,0.01,0.0,0.0,0.0,0.0,0.0,0.0
714,661,0.02,0.0,0.0,0.0,0.0,0.0,0.0
714,663,0.01,0.0,0.0,0.0,0.0,0.0,0.0
714,690,0.01,0.0,0.0,0.0,0.0,0.0,0.0
714,710,0.09799104620852332,0.009799104620852327,0.0,0.0,0.0,0.0010995956761313977,0.0011102534944929642
714,1079,0.020000000000000004,0.0,0.0,0.0,0.0,0.0,0.0
714,1080,0.05,0.0,0.0,0.0,0.0,0.0,0.0
714,1081,0.05,0.0,0.0,0.0,0.0,0.0,0.0
714,1084,0.01,0.0,0.0,0.0,0.0,0.0,0.0
714,1085,0.03996622378653695,0.0,0.0,0.0,0.0,3.377621346305204e-05,0.0
714,1088,0.04996021273594922,0.0,0.0,0.0,0.0,3.978726405078764e-05,0.0
714,1126,0.08,0.01,0.0,0.0,0.0,0.0,0.0
714,1127,0.2,0.02,0.01,0.0,0.0,0.0,0.0
714,1128,0.02,0.0,0.0,0.0,0.0,0.0,0.0
714,1132,0.19,0.01,0.0,0.0,0.0,0.0,0.0
714,1133,0.01,0.0,0.0,0.0,0.0,0.0,0.0
736,652,0.01,0.0,0.0,0.0,0.0,0.0,0.0
736,658,0.01,0.0,0.0,0.0,0.0,0.0,0.0
736,690,0.03638721167125479,0.0,0.0,0.0,0.0,0.0031597732642340763,0.0004530150645111414
736,710,0.03,0.0,0.0,0.0,0.0,0.0,0.0
736,1079,0.01,0.0,0.0,0.0,0.0,0.0,0.0
736,1080,0.02,0.0,0.0,0.0,0.0,0.0,0.0
736,1081,0.02,0.0,0.0,0.0,0.0,0.0,0.0
736,1085,0.01,0.0,0.0,0.0,0.0,0.0,0.0
736,1088,0.01,0.0,0.0,0.0,0.0,0.0,0.0
736,1126,0.03,0.0,0.0,0.0,0.0,0.0,0.0
736,1127,0.08,0.01,0.0,0.0,0.0,0.0,0.0
736,1128,0.01,0.0,0.0,0.0,0.0,0.0,0.0
736,1132,0.08,0.01,0.0,0.0,0.0,0.0,0.0
736,1133,0.01,0.0,0.0,0.0,0.0,0.0,0.0
741,652,0.02,0.0,0.0,0.0,0.0,0.0,0.0
741,658,0.01,0.0,0.0,0.0,0.0,0.0,0.0
741,690,0.04509043685340775,0.0,0.0,0.0,0.0,0.0043439437986949325,0.0005656193478973254
741,710,0.04,0.0,0.0,0.0,0.0,0.0,0.0
741,736,0.007433008876987959,0.0,0.0,0.0,0.0,0.0023890628211719173,0.00017792830184012575
741,1079,0.01,0.0,0.0,0.0,0.0,0.0,0.0
741,1080,0.02,0.0,0.0,0.0,0.0,0.0,0.0
741,1081,0.02,0.0,0.0,0.0,0.0,0.0,0.0
741,1085,0.01,0.0,0.0,0.0,0.0,0.0,0.0
741,1088,0.02,0.0,0.0,0.0,0.0,0.0,0.0
741,1126,0.04,0.01,0.0,0.0,0.0,0.0,0.0
741,1127,0.09,0.01,0.0,0.0,0.0,0.0,0.0
741,1128,0.01,0.0,0.0,0.0,0.0,0.0,0.0
741,1132,0.09,0.01,0.0,0.0,0.0,0.0,0.0
741,1133,0.01,0.0,0.0,0.0,0.0,0.0,0.0
759,690,0.018581342122917312,0.0,0.0,0.0,0.0,0.001158667304929714,0.000259990572152974
759,710,0.01,0.0,0.0,0.0,0.0,0.0,0.0
759,1080,0.01,0.0,0.0,0.0,0.0,0.0,0.0
759,1081,0.01,0.0,0.0,0.0,0.0,0.0,0.0
759,1126,0.01,0.0,0.0,0.0,0.0,0.0,0.0
759,1127,0.03,0.0,0.0,0.0,0.0,0.0,0.0
759,1132,0.03,0.0,0.0,0.0,0.0,0.0,0.0
1079,649,0.0197226754291028,0.0,0.0,0.0,0.0,8.068732484330627e-05,0.0001966372460539029
1079,652,0.1279747455952107,0.009844211199631598,0.0,0.0,0.0,0.0007601224749537553,0.0014209207302039446
1079,658,0.029667580184682067,0.0,0.0,0.0,0.0,0.00015565445280963394,0.00017676536250829428
1079,660,0.00951854451077432,0.0,0.0,0.0,0.0,0.0003981379576853643,8.331753154032041e-05
1079,661,0.019660762522254127,0.0,0.0,0.0,0.0,0.00017466241860870493,0.00016457505913717186
1079,663,0.009885817618803944,0.0,0.0,0.0,0.0,3.645243329405297e-05,7.772994790199831e-05
1079,710,0.029813288976352006,0.0,0.0,0.0,0.0,2.64726627950887e-05,0.00016023836085290368
1079,1079,0.033956753694963315,0.005659458949160557,0.0,0.0,0.0,0.039497542101009066,0.0008862452548670381
1079,1080,0.18465063580684105,0.008792887419373379,0.0,0.0,0.0,0.02361058933982856,0.002945887433957111
1079,1081,0.17274154821926288,0.009091660432592779,0.0,0.0,0.0,0.01571133569971168,0.002455455648432653
1079,1084,0.018802383017113997,0.0,0.0,0.0,0.0,0.0009624978505981016,0.00023511913228789884
1079,1085,0.0486588647482132,0.0,0.0,0.0,0.0,0.0009472388186125758,0.00039389643317424503
1079,1088,0.03962207140588369,0.0,0.0,0.0,0.0,0.00013236394195880678,0.0002455646521575114
1079,1126,0.08927631298988517,0.009919590332209464,0.0,0.0,0.0,0.0,0.0008040966779053054
1079,1127,0.11894968775401185,0.00991247397950099,0.0,0.0,0.0,0.0,0.0011378382664872233
1079,1128,0.019800373729562712,0.0,0.0,0.0,0.0,2.1354651904410234e-05,0.00017827161853287135
1079,1132,0.14848690198341602,0.009899126798894405,0.0,0.0,0.0,0.0,0.001613971217689525
1079,1133,0.009879867873073057,0.0,0.0,0.0,0.0,1.2606786114384987e-05,0.00010752534081255988
1080,649,0.08774566966600733,0.009749518851778593,0.0,0.0,0.0,0.001116934532497268,0.0013878769497168012
1080,652,0.6406738085765129,0.03882871567130383,0.009707178917825956,0.0,0.0,0.010644641621791474,0.010145655212565635
1080,658,0.1369990829842325,0.009785648784588038,0.0,0.0,0.0,0.002156578909161334,0.001058689322018096
1080,660,0.05315412365724475,0.0,0.0,0.0,0.0,0.006102659764113978,0.0007432165786412577
