,oid_,id,zone_id,co_tazid,tazid,co_fips,co_name,residentia,households,population,jobs1,jobs3,jobs4,jobs5,jobs6,jobs7,jobs9,jobs10,avgincome,enrol_elem,enrol_midl,enrol_high,hhsize_lc1,hhsize_lc2,hhsize_lc3,pct_poplc1,pct_poplc2,pct_poplc3,pct_ag1,pct_ag2,pct_ag3,inc1,inc2,inc3,inc4,park_score,park_area,school_cd,coll_enrol,th_score,comm_rail,light_rail,gqu_ratio,node_id,jobs_total,mixed_use,area_sqmil
9608,9608,0,9611,351004,1004,35,SALT LAKE,0,55,152,55,0,1,8,53,120,14,67,47302.0,0.0,0.0,0.0,1.7782,4.1791,1.7353,0.3275,0.5292,0.1433,0.1135,0.7447,0.1418,0.284774587,0.252051856,0.280181702,0.182991855,0,0,0,0,0,0,0,0.0,73215,237,44.64041096,0.0617763
9655,9655,0,9658,350787,787,35,SALT LAKE,0,150,530,0,0,0,0,2,0,0,0,32919.0,0.845283019,0.0,0.0,2.17,5.28,2.09,0.3,0.62,0.08,0.3,0.63,0.07,0.448271237,0.277272605,0.188889783,0.085566374,0,0,0,0,0,0,0,0.0,73670,2,1.973684211,0.0617763
9695,9695,0,9698,351039,1039,35,SALT LAKE,0,0,0,1,8,2,5,12,57,12,26,66356.1175,0.0,0.0,0.0,1.7984,4.21855,1.7584,0.3235,0.522225,0.154275,0.17285,0.6797,0.14745,0.156416173,0.191738104,0.298836918,0.353008805,2,16395,0,0,0,0,0,0.0,76066,85,0.0,0.0617763
9817,9817,0,9820,350766,766,35,SALT LAKE,0,91,300,4,20,5,13,521,36,4,46,42622.3,0.074666667,0.0,0.0,1.9724,4.7328,1.927075,0.3019,0.612875,0.085225,0.28575,0.639025,0.075225,0.347766646,0.263081243,0.246769757,0.142382355,0,0,0,0,0,0,0,0.0,74042,599,78.99855072,0.0617763
9827,9827,0,9830,351055,1055,35,SALT LAKE,0,102,238,0,0,0,0,0,19,0,0,112986.2,0.0,0.0,0.0,1.6644,3.9972,1.6104,0.3176,0.5124,0.17,0.1688,0.6712,0.16,0.045802752,0.095798562,0.237815259,0.620583427,0,0,0,0,0,0,0,0.039439401,74468,19,16.01652893,0.0617763
9839,9839,0,9842,351046,1046,35,SALT LAKE,0,187,400,0,0,0,0,0,0,0,0,70807.5,0.21375,0.0,0.0,1.5075,3.675,1.4825,0.3,0.4975,0.2025,0.175,0.6325,0.1925,0.13277472,0.197575725,0.325623017,0.344026539,0,0,0,0,0,0,0,0.0,75237,0,0.0,0.0617763
9872,9872,0,9875,351056,1056,35,SALT LAKE,0,67,168,0,0,0,0,0,0,0,0,188948.26,0.00735119,0.0,0.0,1.84145,4.46055,1.7059,0.27805,0.4957,0.22625,0.20385,0.57895,0.2172,0.088687841,0.052787848,0.121363681,0.73716063,1,6855,0,0,0,0,0,0.264997338,74462,0,0.0,0.0617763
9873,9873,0,9876,351030,1030,35,SALT LAKE,0,6,23,0,0,0,0,0,0,0,0,98944.0,0.0,0.0,0.0,1.9,4.39,1.86,0.26,0.5,0.24,0.23,0.54,0.23,0.053401095,0.122947615,0.286043784,0.537607506,0,0,0,0,0,0,0,0.0,76181,0,0.0,0.0617763
9919,9919,0,9922,350756,756,35,SALT LAKE,0,326,1191,0,0,0,0,0,0,0,0,31479.1125,0.282695214,0.0,0.0,2.165325,5.0698,2.113125,0.28695,0.643475,0.069575,0.336525,0.6039,0.059575,0.470754416,0.279571656,0.17495389,0.074720038,1,106,0,0,0,0,0,0.0,75177,0,0.0,0.0617763
9934,9934,0,9937,351141,1141,35,SALT LAKE,0,94,225,4,17,9,4,11,31,11,78,18041.5,0.0,0.0,0.0,1.167775,2.7357,1.14175,0.23515,0.69205,0.0728,0.185725,0.748975,0.0653,0.68672692,0.289224973,0.021768064,0.002280043,0,0,0,0,0,0,0,0.0,76673,76,42.02352941,0.0617763
9973,9973,0,9976,350750,750,35,SALT LAKE,0,325,1268,1,15,4,0,0,4,6,0,30108.815,0.203487776,0.0,0.0,2.146175,5.09535,2.1024,0.277525,0.63945,0.083025,0.3506,0.57955,0.06985,0.48095439,0.278988359,0.166193765,0.073863486,3,14411,0,0,0,0,0,0.0,75221,24,22.3495702,0.0617763
10013,10013,0,10016,350946,946,35,SALT LAKE,0,496,1123,364,5,43,3,611,556,763,48,39558.0,0.0,0.0,0.0,1.6371,3.8716,1.6357,0.3788,0.5052,0.116,0.0874,0.7966,0.116,0.364946796,0.266547061,0.238184151,0.130321992,0,0,0,0,0,0,1,0.0,74032,1582,377.6092397,0.0617763
10015,10015,0,10018,351127,1127,35,SALT LAKE,0,218,480,16,1,15,0,7,6,6,3,47540.6,0.356666667,0.0,0.0,1.507,3.552,1.488,0.339,0.564,0.097,0.197,0.716,0.087,0.311796699,0.251464355,0.25912179,0.177617156,1,1274,0,0,0,0,0,0.0,71120,45,37.30038023,0.0617763
10078,10078,0,10081,351036,1036,35,SALT LAKE,0,88,257,0,10,0,16,13,1,0,85,42895.18,0.0,0.0,0.0,1.7332,4.1434,1.6402,0.3234,0.572,0.1046,0.2226,0.6828,0.0946,0.329152117,0.260589087,0.257650339,0.152608457,0,0,0,0,0,0,0,0.0,74903,40,27.5,0.0617763
10099,10099,0,10102,350992,992,35,SALT LAKE,0,215,618,46,7,0,179,323,285,25,150,47302.0,0.0,0.0,0.0,1.91915,4.51195,1.8646,0.35,0.48,0.17,0.1,0.73,0.17,0.28475395,0.252028068,0.280198263,0.183019719,0,0,0,0,0,0,0,0.0,72955,840,171.1848341,0.0617763
10127,10127,0,10131,351076,1076,35,SALT LAKE,0,0,0,0,404,3028,0,0,0,0,0,34057.17,0.0,0.0,0.0,1.7336,4.1173,0.985,0.44325,0.55675,0.0,0.04925,0.95075,0.0,0.469494527,0.279447613,0.175731303,0.075326557,0,0,0,0,0,0,1,0.749119997,74366,3432,0.0,0.0617763
10162,10162,0,10166,351043,1043,35,SALT LAKE,0,474,833,1,26,0,0,37,106,13,0,32124.0,0.0,0.0,0.0,1.58,3.7,1.52,0.24,0.33,0.43,0.06,0.51,0.43,0.459332074,0.27840831,0.18203125,0.080228365,0,0,0,0,0,0,0,0.0,74482,170,125.1242236,0.0617763
